Homeownership Rates

	                2000	1990	1980	1970	1960	1950	1940	1930	1920	1910	1900

United States        	66.2%	64.2%	64.4%	62.9%	61.9%	55.0%	43.6%	47.8%	45.6%	45.9%	46.5%

Alabama	                72.5%	70.5%	70.1%	66.7%	59.7%	49.4%	33.6%	34.2%	35.0%	35.1%	34.4%
Alaska	                62.5%	56.1%	58.3%	50.3%	48.3%	54.5%	 NA      NA	 NA      NA	 NA
Arizona	                68.0%	64.2%	68.3%	65.3%	63.9%	56.4%	47.9%	44.8%	42.8%	49.2%	57.5%
Arkansas	        69.4%	69.6%	70.5%	66.7%	61.4%	54.5%	39.7%	40.1%	45.1%	46.6%	47.7%
California	        56.9%	55.6%	55.9%	54.9%	58.4%	54.3%	43.4%	46.1%	43.7%	49.5%	46.3%
Colorado	        67.3%	62.2%	64.5%	63.4%	63.8%	58.1%	46.3%	50.7%	51.6%	51.5%	46.6%
Connecticut	        66.8%	65.6%	63.9%	62.5%	61.9%	51.1%	40.5%	44.5%	37.6%	37.3%	39.0%
Delaware	        72.3%	70.2%	69.1%	68.0%	66.9%	58.9%	47.1%	52.1%	44.7%	40.7%	36.3%
Dist. of Columbia	40.8%	38.9%	35.5%	28.2%	30.0%	32.3%	29.9%	38.6%	30.3%	25.2%	24.0%
Florida	                70.1%	67.2%	68.3%	68.6%	67.5%	57.6%	43.6%	42.0%	42.5%	44.2%	46.8%
Georgia	                67.5%	64.9%	65.0%	61.1%	56.2%	46.5%	30.8%	30.6%	30.9%	30.5%	30.6%
Hawaii	                56.5%	53.9%	51.7%	46.9%	41.1%	33.0%	 NA      NA	 NA      NA	 NA
Idaho	                72.4%	70.1%	72.0%	70.1%	70.5%	65.5%	57.9%	57.0%	60.9%	68.1%	71.6%
Illinois	        67.3%	64.2%	62.6%	59.4%	57.8%	50.1%	40.3%	46.5%	43.8%	44.1%	45.0%
Indiana	                71.4%	70.2%	71.7%	71.7%	71.1%	65.5%	53.1%	57.3%	54.8%	54.8%	56.1%
Iowa	                72.3%	70.0%	71.8%	71.7%	69.1%	63.4%	51.5%	54.7%	58.1%	58.4%	60.5%
Kansas	                69.2%	67.9%	70.2%	69.1%	68.9%	63.9%	51.0%	56.0%	56.9%	59.1%	59.1%
