year,size
1965,1525
1966,1570
1967,1610
1968,1665
1969,1640
1970,1500
1971,1520
1972,1555
1973,1660
1974,1695
1975,1645
1976,1700
1977,1720
1978,1755
1979,1760
1980,1740
1981,1720
1982,1710
1983,1725
1984,1780
1985,1785
1986,1825
1987,1905
1988,1995
1989,2035
1990,2080
1991,2075
1992,2095
1993,2095
1994,2100
1995,2095
1996,2120
1997,2150
1998,2190
1999,2223
2000,2266
2001,2324
2002,2320
2003,2330
2004,2349
2005,2434
2006,2469
2007,2521
2008,2519
2009,2438
2010,2392
2011,2480
2012,2505
2013,2598
2014,2657
